id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,end user license agreement this end user software license agreement is a legal agreement agreement between you licensee and softerra llc softerra which is the owner of the ldap browser software software,0,0,0,0,0,0,0,0,1,0,0,0
2,this agreement specifies the terms and conditions under which licensee may use the software,0,0,0,0,0,0,0,0,0,0,0,0
3,please read this license agreement carefully before downloading or using the software,0,0,0,0,0,0,0,0,0,0,0,0
4,by clicking on the accept button opening the package downloading the product or using the equipment that contains this product you are consenting to be bound by this agreement,0,0,0,0,0,0,0,0,0,0,0,0
5,if you do not agree to all of the terms of this agreement click the do not accept button and the installation process will not continue or do not download the product,0,0,0,0,0,0,0,0,0,0,0,0
6,except as expressly permitted by this agreement licensee may not i lease loan resell sublicense or otherwise distribute the software ii use the software for the benefit of any third party including without limitation operation in a timesharing arrangement or in a service bureau iii use the software to develop products competitive with the software iv permit third parties access to or use of the software except as expressly set forth herein v distribute or publish source codes of the software or vi use unauthorized source codes,1,1,1,1,0,0,0,0,0,0,0,0
7,licensee shall notify softerra if he she becomes aware of any unauthorized third party access to or use of the software,0,0,0,0,0,0,0,0,0,0,0,0
8,if licensee is contracted with an outsourcee licensee may permit the outsourcee to access and use the software provided that i the outsourcee complies with the terms of this agreement and accesses and uses the software solely for purposes of rendering services to licensee and ii the total number of licenses used by licensee and outsourcee do not exceed the number of licenses ordered,0,0,0,1,0,0,0,0,0,0,0,0
9,licensee shall ensure that the outsourcee is informed about and observes the terms and conditions of this agreement,0,0,0,0,0,0,0,0,0,0,1,0
10,upon completion of licensees services by the outsourcee licensee shall certify in writing that the outsourcee has uninstalled and destroyed all copies of software within thirty 30 days after such completion of services,0,0,0,0,0,0,0,0,0,0,0,0
11,the number of software copies made by licensee shall not exceed the number of licensed copies ordered plus a reasonable number of archival copies for inactive backup purposes,1,0,0,0,0,0,0,0,0,0,0,0
12,all software copyright trademark patent and related proprietary notices incorporated in or fixed to the software shall be duplicated by licensee on all copies or extracts thereof and shall not be altered removed or obliterated,0,0,0,0,0,0,0,1,0,0,0,0
13,upgrades if the software and the related documentation are provided as an upgrade to an earlier licensed release of the software then you must have a valid license to operate such earlier release of the same version and edition as the upgrade to install or use the upgrade,0,0,0,0,0,0,0,0,0,0,0,0
14,all software being upgraded is deemed to be a part of the software and is subject to this agreement,0,0,0,0,0,0,0,0,0,0,0,0
15,term and termination the license granted for the software will continue until it is terminated,0,0,0,0,0,0,0,0,0,0,0,1
16,softerra may terminate any license granted herein if licensee fail to comply with the terms of this agreement,0,0,0,0,0,0,0,0,0,0,0,0
17,upon the termination of a license for any reason licensee must promptly return to softerra or destroy all copies of the software and related documentation covered by the license,0,0,0,0,0,0,0,0,0,0,0,0
18,trademarks and intellectual property software is the intellectual property of softerra,0,0,0,0,0,0,0,0,0,0,0,0
19,you acknowledge and agree that except for the rights granted in this agreement all other rights and all title and interest in and to the software as an independent work and as an underlying work serving as a basis for any application you may develop and related documentation remain the sole and exclusive property of softerra and that you will not derive or assert any title or interest in or to the software or related documentation,0,0,0,0,0,0,0,0,0,0,0,0
20,without limiting the generality of the foregoing you do not receive any rights to any patents copyrights trademarks to the software or related documentation,0,0,0,0,0,1,0,0,0,0,0,0
21,this agreement does not authorize you to use softerras name or any of its trademarks,0,0,0,0,0,1,0,0,0,0,0,0
22,limited warranty softerra provides no remedies or warranties whether express or implied for the software,0,0,0,0,0,0,0,0,0,0,0,1
23,you acknowledge that due to the complexity of the software it is possible that use of the software could lead to the unintentional loss or corruption of data,0,0,0,0,0,0,0,0,0,0,0,0
24,you assume all risks of such data loss or corruption the warranties provided in this agreement do not cover any damages or losses resulting from data loss or corruption,0,0,0,0,0,0,0,0,0,0,1,1
25,limitation on liability softerra assumes no liability or responsibility for any damages resulting from altering the software in any way its misuse accidents abuse misapplication use of third party software that may conflict with the software as well as use of the software with other than a recommended hardware configuration,0,0,0,0,0,0,0,0,0,0,1,0
26,in no case shall softerra be liable for any indirect incidental special or consequential damages or loss including without limitation lost profits or the inability to use equipment or access data whether such damages are based upon a breach of express or implied warranties breach of contract negligence strict tort or any other legal theory,0,0,0,0,0,0,0,0,0,0,1,0
27,this is true even if softerra is advised of the possibility of such damages,0,0,0,0,0,0,0,0,0,0,1,0
28,miscellaneous this agreement is the complete agreement between you and softerra concerning the software and related documentation,0,0,0,0,0,0,0,0,0,0,0,0
