id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty,is_granted
1,end user license agreement for third party content read carefully licensor licenses this program tool plug in add on application library content data solution service or other item or material the content to you only upon the condition that you accept all of the terms contained in this end user license agreement agreement,0,0,0,0,0,0,0,0,1,0,0,0,1
2,splunk apps hosts certain content created and published by individuals and entities other than splunk inc or its affiliates splunk,0,1,0,0,0,0,0,0,0,0,0,0,1
3,such third party content made available through splunk apps are licensed not sold to you,0,0,0,0,0,0,0,0,0,0,0,0,0
4,your license to each content that you obtain through splunk apps is subject to your prior acceptance of this end user license agreement and you agree that the terms of this agreement will apply to each content that you license through splunk apps,0,1,0,0,0,0,0,0,1,0,0,0,1
5,if you are downloading accessing or using the content provided or authored by a third party developer or provider this agreement is solely between the developer or provider of the content licensor and you and not with splunk,0,0,0,0,0,0,0,0,0,0,0,0,1
6,licensor and not splunk is solely responsible for the content including without limitation for any warranties maintenance and support notices and consents to be given to users,0,0,0,0,0,0,0,0,0,0,0,0,0
7,you agree to foregoing even if the content has been examined against best practices for splunk development deemed cloud compatible or otherwise vetted by splunk,0,0,0,0,0,0,0,0,0,0,1,0,0
8,notwithstanding the above you acknowledge that splunk is a third party beneficiary of this agreement and that upon your acceptance of the terms of this agreement splunk will have the right to enforce the agreement against you as a third party beneficiary thereof,0,0,0,0,0,0,0,0,0,0,0,0,0
9,questions complaints or claims with respect to the content should be directed solely to the licensor whose contact information can be found on the content download page from which the content is downloaded,0,0,0,0,0,0,0,0,0,0,0,0,0
10,the content is to be used only in conjunction with the specific splunk software product or service identified in materials distributed with the content with which such content was designed to operate splunk software,0,0,0,0,0,0,0,0,0,0,0,0,1
11,therefore you may use the content only if you are an authorized user of the splunk software,0,0,0,0,0,0,0,0,0,0,0,0,1
12,this agreement does not modify or alter the terms of the software license agreement delivered with the splunk software,0,0,1,0,0,0,0,0,1,0,0,0,0
13,subject to the terms and conditions of this agreement licensor grants to you a license to download and use the content in connection with the splunk software,0,0,0,0,0,0,0,0,0,0,0,0,1
14,the content is furnished on an as is basis and licensor disclaims all warranties express or implied including without limitation warranties of non infringement of third party rights or of merchantability or fitness for a particular purpose and any warranties arising by statute or otherwise in law or from a course of dealing or usage of trade,0,0,0,0,0,0,0,0,0,0,0,1,0
15,licensor specifically does not warrant that the content will meet your requirements will operate in all the combinations which may be selected for use by you that the operation of the content will be error free or uninterrupted accurate useful reliable or complete or that all errors or defects in the content will be corrected,0,0,0,0,0,0,0,0,0,0,0,0,0
16,neither splunk nor licensor shall be liable for any damages whatsoever arising from or relating to your use or inability to use the content,0,0,0,0,0,0,0,0,0,0,1,0,0
17,under no circumstances will splunk or licensor be liable to you for any indirect incidental consequential special or exemplary damages for loss of profits use revenue or data or for business interruption regardless of the legal theory for seeking such damages or other liability arising out of or in connection with use of the content whether or not splunk or licensor has been advised of the possibility of such damages,0,0,0,0,0,0,0,0,0,0,1,0,0
18,in addition the liability of splunk or licensor arising out of or relating to the content will not exceed the amount paid or payable by you if any for such content,0,0,0,0,0,0,0,0,0,0,1,0,0
19,this agreement will be governed by and construed in accordance with the laws of the state of california and to the extent controlling the federal laws of the united states without reference to the conflicts of laws rules thereof,0,0,0,0,0,0,0,0,0,0,0,0,0
20,the un convention on contracts for the international sale of goods and the uniform computer information transaction act shall not apply to this agreement,0,0,0,0,0,0,0,0,0,0,0,0,0
