id,text,commercial_use,distribution,modification,private_use,patent_use,trademark_use,disclose_source,license_and_copyright_notice,same_license,state_changes,liability,warranty
1,this library is free software you can redistribute it and or modify it under the terms of the gnu general public license as published by the free software foundation either version 2 or at your option any later version,0,1,1,0,0,0,0,0,0,0,0,0
2,this library is distributed in the hope that it will be useful but without any warranty without even the implied warranty of merchantability or fitness for a particular purpose,0,0,0,0,0,0,0,0,0,0,0,1
3,see the gnu general public license for more details,0,0,0,0,0,0,0,0,0,0,0,0
4,you should have received a copy of the gnu general public license along with this library see the file copying,0,0,0,0,0,0,0,1,0,0,0,0
5,if not write to the free software foundation 51 franklin street fifth floor boston ma 02110 1301 usa,0,0,0,0,0,0,0,0,0,0,0,0
6,as a special exception the free software foundation gives permission for additional uses of the text contained in its release of guile,0,0,0,0,0,0,0,0,0,0,0,0
7,the exception is that if you link the guile library with other files to produce an executable this does not by itself cause the resulting executable to be covered by the gnu general public license,0,0,0,0,0,0,0,0,0,0,0,0
8,your use of that executable is in no way restricted on account of linking the guile library code into it,0,0,0,0,0,0,0,0,0,0,0,0
9,this exception does not however invalidate any other reasons why the executable file might be covered by the gnu general public license,0,0,0,0,0,0,0,0,0,0,0,0
10,this exception applies only to the code released by the free software foundation under the name guile,0,0,0,0,0,0,0,0,0,0,0,0
11,if you copy code from other free software foundation releases into a copy of guile as the general public license permits the exception does not apply to the code that you add in this way,0,0,0,0,0,0,0,0,0,0,0,0
12,to avoid misleading anyone as to the status of such modified files you must delete this exception notice from them,0,0,1,0,0,0,0,0,0,1,0,0
13,if you write modifications of your own for guile it is your choice whether to permit this exception to apply to your modifications,0,0,0,0,0,0,0,0,0,0,0,0
